ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,92-93°F,54321592455296872982453482901604417239295258847431923424881471848565288134979,0.001,316.81,0.01,181.33,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,94-95°F,3375640794243097984835298577244974171472754796895085581485095222461579913714,0.02,270,0.04,75.5,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,96-97°F,56186578439967372333573344520976644440223214583631749524236699722764357826161,0.05,5,0.06,15,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,98-99°F,30136561394131424973460895991592655159852874446542661406839116213226061777868,0.42,8.27,0.43,25.79,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,100-101°F,76464224504158323396884957378761414700841881135584407842020623548435377904541,0.38,52.37,0.4,107,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,102-103°F,11557322893084445564920727867634748987145442236018519019565197727894284971551,0.12,3.51,0.13,27,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,104°F or higher,38472166811719599873268420876996635547986334352375129410691193829513922856602,0.015,6,0.038,5,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,87°F or below,80374245707823129665886135089817805975107615765610589210603682259367432770204,0.014,10,0.034,109.99,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,88-89°F,26920194012123303842034114540278318226897963908892870467744689194673843177284,0.031,5,0.041,124,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,90-91°F,32318241317153317139273832529556258994568388867515069725681614977202630910340,0.21,220.87,0.24,160.58,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,92-93°F,37337528631095794821813280850927870223729569485102749539935665260681947294118,0.31,0.39,0.32,520.17,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,94-95°F,109051755813200891081010349588226949686159373517596197165247414356732041049060,0.23,5,0.27,194.1,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,96-97°F,15638411081436370561998336926514487822468316642330954196669240169552943532045,0.06,5,0.08,15.99,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,98-99°F,8271081205191420162238667758675896264142089523500516797248426981403650180542,0.02,31,0.05,10.05,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,100-101°F,65450346290261858512484118468209063899770435999312414350393104153643413146930,0.01,5,0.02,80.02,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,102-103°F,25100457882472462999047587806892141266284718015896720992295535835470177938871,0.001,161,0.004,504.5,2026-09-03T06:01:18.808034+00:00
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,104-105°F,87619994158026749113527436585053688194910514918443582683317116419408276209956,0.001,350.94,0.016,60.02,2026-09-03T06:01:18.808034+00:00
